798
9515
14,787,9
351,719,2
371,120,1
548,226,7
622,670,1
319,329,1
61,698,1
512,659,3
395,297,1
367,93,3
67,113,1
696,607,2
197,213,1
401,709,4
347,129,1
555,484,15
792,50,1
261,337,3
507,455,11
181,10,3
772,611,1
48,753,1
409,26,1
530,557,1
199,410,4
436,120,1
519,680,1
294,362,2
171,253,1
752,756,2
473,501,1
200,667,4
518,421,2
722,512,2
318,207,2
530,463,1
235,607,1
471,567,1
368,380,1
731,739,1
644,234,1
122,182,7
288,268,1
237,295,1
402,380,2
705,125,2
522,541,2
249,297,3
265,524,2
748,181,1
164,262,1
75,165,1
420,625,2
676,441,3
18,703,2
26,338,8
107,101,1
435,410,1
40,42,1
705,264,2
120,792,1
767,94,1
624,216,3
774,772,4
705,441,1
747,34,1
310,69,2
371,310,1
723,77,1
37,691,3
489,199,2
658,672,2
22,347,1
372,148,1
428,102,1
218,396,3
175,683,1
626,659,1
423,349,2
510,393,3
93,767,2
471,38,3
493,426,9
612,544,1
632,222,3
635,641,2
376,540,1
507,370,1
548,484,2
347,237,1
560,474,4
247,332,1
216,672,1
751,76,1
1,66,1
792,189,1
226,585,2
333,355,1
595,560,7
9,181,1
372,767,2
428,569,3
354,607,1
548,730,3
128,261,1
705,541,9
101,622,1
47,78,1
195,751,2
270,223,1
441,691,2
299,701,1
527,509,4
160,5,7
218,263,2
193,67,2
680,619,9
751,512,7
113,180,2
701,299,6
411,37,1
766,787,2
566,703,1
127,351,1
240,49,1
458,200,2
666,565,3
769,172,1
249,197,8
533,36,1
17,63,5
792,791,5
544,200,2
395,582,1
71,277,3
662,664,3
17,37,3
630,12,1
102,501,6
453,85,1
236,363,1
607,372,1
453,230,2
199,518,1
330,371,4
719,255,1
791,194,3
758,787,1
26,72,1
784,20,1
785,493,9
456,421,2
258,359,1
318,783,1
211,445,1
747,159,2
513,507,1
626,695,2
310,34,6
186,116,1
82,453,4
211,667,2
372,622,1
569,557,1
626,518,14
421,305,1
85,723,9
177,680,1
203,680,1
510,564,3
203,569,1
284,734,3
413,510,6
87,139,1
713,552,10
521,509,1
705,584,4
134,312,4
119,282,9
428,541,3
584,347,1
548,766,2
218,249,3
75,336,1
539,705,1
721,230,1
171,197,1
342,174,7
626,93,2
772,345,1
475,587,2
223,249,1
481,522,2
189,313,2
706,197,1
65,203,5
483,68,1
303,305,1
60,458,1
564,455,1
619,701,1
798,540,1
539,412,6
260,171,1
652,661,1
9,186,1
415,585,1
236,26,1
558,539,8
596,458,31
445,482,5
571,668,2
53,749,2
607,74,2
402,471,5
705,214,18
197,274,1
568,730,5
622,525,1
199,708,2
415,420,1
735,790,1
533,513,2
279,236,2
212,177,2
456,299,1
20,4,2
349,104,1
421,683,2
705,496,7
690,100,1
664,695,2
460,101,2
303,568,1
413,680,1
456,449,4
320,222,1
40,256,24
520,522,5
37,413,4
372,93,1
391,37,8
575,705,1
175,754,1
453,508,1
491,569,2
663,665,3
44,207,3
309,733,5
511,623,2
2,759,1
314,197,3
79,455,1
312,478,1
262,60,2
67,404,1
401,728,1
418,214,1
38,535,1
572,571,1
64,330,2
416,507,2
713,635,1
452,489,3
459,447,2
186,733,4
404,276,3
722,507,5
355,766,1
723,92,1
792,245,3
446,26,3
748,654,1
51,582,1
683,125,3
151,239,8
172,766,1
393,309,6
269,404,1
587,665,1
627,680,4
720,6,2
425,174,1
703,199,1
714,723,1
401,181,4
476,751,1
42,161,1
596,520,18
781,394,2
70,723,3
236,239,1
554,4,1
38,445,5
188,266,3
585,746,3
165,54,3
60,204,3
667,476,2
410,413,1
503,560,3
221,383,1
706,749,2
709,730,3
212,102,2
583,177,2
749,713,1
553,102,3
259,239,1
188,223,1
282,20,47
46,229,2
732,540,1
788,798,5
199,569,7
40,478,27
251,182,3
705,476,6
62,180,2
282,391,12
468,430,1
330,395,1
672,626,1
182,263,1
372,177,3
203,43,1
70,739,2
680,300,1
516,690,1
304,128,1
728,568,33
139,70,1
128,254,2
555,569,6
665,9,1
519,418,1
207,44,2
797,540,1
546,284,1
348,456,2
540,120,1
479,630,3
708,120,1
214,481,1
548,449,1
401,708,10
474,402,1
574,577,1
560,63,1
512,434,1
472,623,2
180,288,6
193,212,15
591,594,1
793,399,10
299,434,1
104,26,3
413,422,1
509,541,3
539,792,6
787,470,1
455,188,5
441,662,3
460,214,6
62,102,2
123,116,1
226,123,1
420,548,1
796,399,2
501,447,1
549,705,15
236,188,4
734,711,2
165,200,2
758,399,2
13,772,1
288,269,1
494,751,2
406,349,1
743,540,5
